Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Sales_Projection
DRI47,14.7,Low Fat,0.021038512,Hard Drinks,145.7128,OUT017,2007,,Tier 2,Supermarket Type1,2228.86
DRE15,13.35,Low Fat,0.017770596,Dairy,75.3012,OUT013,1987,High,Tier 3,Supermarket Type1,1002.21
FDY11,6.71,Regular,0.029554862,Baking Goods,67.8142,OUT035,2004,Small,Tier 2,Supermarket Type1,952.77
FDO60,20.0,Low Fat,0.034422963,Baking Goods,44.4086,OUT049,1999,Medium,Tier 1,Supermarket Type1,652.09
FDQ20,8.325,Low Fat,0.029906169,Fruits and Vegetables,41.1138,OUT018,2009,Medium,Tier 3,Supermarket Type2,503.34
FDO57,,Low Fat,0.108183728,Snack Foods,161.2578,OUT027,1985,Medium,Tier 3,Supermarket Type3,3703.35
FDT14,,Regular,0.223633668,Dairy,119.944,OUT019,1985,Small,Tier 1,Grocery Store,230.77
FDA57,18.85,Low Fat,0.039705236,Snack Foods,40.348,OUT049,1999,Medium,Tier 1,Supermarket Type1,616.23
DRN35,8.01,Low Fat,0.070644938,Hard Drinks,35.8532,OUT017,2007,,Tier 2,Supermarket Type1,561.11
FDJ03,12.35,Regular,0.072394912,Dairy,50.3692,OUT046,1997,Small,Tier 1,Supermarket Type1,683.65
FDX28,6.325,Low Fat,0.12588618,Frozen Foods,101.2042,OUT017,2007,,Tier 2,Supermarket Type1,1464.72
DRE25,15.35,Low Fat,0.073431813,Soft Drinks,91.312,OUT045,2002,,Tier 2,Supermarket Type1,1225.12
FDR09,18.25,Low Fat,0.077724599,Snack Foods,260.2962,OUT046,1997,Small,Tier 1,Supermarket Type1,3635.44
FDB23,19.2,Regular,0.005587545,Starchy Foods,226.3062,OUT035,2004,Small,Tier 2,Supermarket Type1,3286.64
FDO08,11.1,Regular,0.053884439,Fruits and Vegetables,163.8526,OUT045,2002,,Tier 2,Supermarket Type1,2472.47
FDQ23,6.55,Low Fat,0.024563959,Breads,100.9332,OUT049,1999,Medium,Tier 1,Supermarket Type1,1460.93
FDW04,8.985,Regular,0.057778979,Frozen Foods,130.331,OUT013,1987,High,Tier 3,Supermarket Type1,1873.38
DRK13,11.8,Low Fat,0.192766917,Soft Drinks,198.1084,OUT010,1998,,Tier 3,Grocery Store,484.79
NCL17,,LF,0.067451486,Health and Hygiene,142.0812,OUT027,1985,Medium,Tier 3,Supermarket Type3,3213.86
FDY21,15.1,Low Fat,0.173448501,Snack Foods,194.611,OUT035,2004,Small,Tier 2,Supermarket Type1,2838.49
FDJ38,,Regular,0.0,Canned,189.053,OUT027,1985,Medium,Tier 3,Supermarket Type3,4928.15
FDA37,,Regular,0.096694919,Canned,126.5046,OUT019,1985,Small,Tier 1,Grocery Store,269.26
FDV43,16.0,Low Fat,0.076791671,Fruits and Vegetables,44.5086,OUT013,1987,High,Tier 3,Supermarket Type1,650.08
FDL36,15.1,Low Fat,0.076075485,Baking Goods,91.683,OUT046,1997,Small,Tier 1,Supermarket Type1,1248.56
FDD53,16.2,Low Fat,0.044312181,Frozen Foods,40.9454,OUT045,2002,,Tier 2,Supermarket Type1,614.15
FDZ19,6.425,Low Fat,0.156424341,Fruits and Vegetables,176.3712,OUT010,1998,,Tier 3,Grocery Store,364.21
FDV21,11.5,Low Fat,0.171429906,Snack Foods,125.8704,OUT045,2002,,Tier 2,Supermarket Type1,1866.11
NCL54,12.6,Low Fat,0.0,Household,173.2054,OUT018,2009,Medium,Tier 3,Supermarket Type2,2480.23
DRI47,,Low Fat,0.020818872,Hard Drinks,144.4128,OUT027,1985,Medium,Tier 3,Supermarket Type3,3262.46
DRG03,14.5,Low Fat,0.062082947,Dairy,155.7998,OUT049,1999,Medium,Tier 1,Supermarket Type1,2214.87
FDG21,17.35,Regular,0.146178155,Seafood,149.905,OUT013,1987,High,Tier 3,Supermarket Type1,2193.6
FDW03,5.63,Regular,0.024641247,Meat,104.6306,OUT018,2009,Medium,Tier 3,Supermarket Type2,1218.76
NCI55,18.6,Low Fat,0.012653565,Household,121.2414,OUT046,1997,Small,Tier 1,Supermarket Type1,1853.37
DRC36,,Regular,0.078762707,Soft Drinks,175.6054,OUT019,1985,Small,Tier 1,Grocery Store,364.58
FDH22,6.405,LF,0.13707192,Snack Foods,128.5678,OUT017,2007,,Tier 2,Supermarket Type1,1853.59
FDV20,20.2,Regular,0.059922682,Fruits and Vegetables,127.8678,OUT045,2002,,Tier 2,Supermarket Type1,1863.52
NCU41,,Low Fat,0.051802741,Health and Hygiene,192.8846,OUT027,1985,Medium,Tier 3,Supermarket Type3,5003.98
FDN46,,Regular,0.143931094,Snack Foods,104.3332,OUT027,1985,Medium,Tier 3,Supermarket Type3,2572.67
FDK50,7.96,Low Fat,0.028420724,Canned,161.8894,OUT045,2002,,Tier 2,Supermarket Type1,2466.66
NCA05,,Low Fat,0.025008936,Health and Hygiene,147.6734,OUT027,1985,Medium,Tier 3,Supermarket Type3,3262.46
DRH01,17.5,Low Fat,0.098302848,Soft Drinks,173.4738,OUT018,2009,Medium,Tier 3,Supermarket Type2,2480.23
FDT08,13.65,Low Fat,0.049418994,Fruits and Vegetables,149.505,OUT018,2009,Medium,Tier 3,Supermarket Type2,2062.75
FDM08,10.1,Regular,0.053802487,Fruits and Vegetables,224.2088,OUT018,2009,Medium,Tier 3,Supermarket Type2,2706.01
FDZ07,15.1,Regular,0.093873561,Fruits and Vegetables,60.5194,OUT035,2004,Small,Tier 2,Supermarket Type1,822.86
FDS22,16.85,Regular,0.02328537,Snack Foods,45.4428,OUT017,2007,,Tier 2,Supermarket Type1,678.24
FDV35,,Low Fat,0.127585158,Breads,156.5314,OUT027,1985,Medium,Tier 3,Supermarket Type3,3610.24
FDI28,14.3,Low Fat,0.044057131,Frozen Foods,77.9302,OUT010,1998,,Tier 3,Grocery Store,177.82
FDW58,,Low Fat,0.007516517,Snack Foods,107.6622,OUT027,1985,Medium,Tier 3,Supermarket Type3,2605.13
FDT52,9.695,Regular,0.047525766,Frozen Foods,245.2144,OUT045,2002,,Tier 2,Supermarket Type1,3508.8
FDY34,10.5,Regular,0.010981858,Snack Foods,164.1842,OUT046,1997,Small,Tier 1,Supermarket Type1,2479.81
FDR10,17.6,Low Fat,0.010039894,Snack Foods,160.6552,OUT046,1997,Small,Tier 1,Supermarket Type1,2407.29
FDK57,10.195,Low Fat,0.080747059,Snack Foods,120.544,OUT017,2007,,Tier 2,Supermarket Type1,1847.42
FDR02,,Low Fat,0.021958822,Dairy,109.2886,OUT027,1985,Medium,Tier 3,Supermarket Type3,2625.67
FDX49,4.615,Regular,0.101831776,Canned,234.03,OUT046,1997,Small,Tier 1,Supermarket Type1,3438.75
FDQ20,8.325,Low Fat,0.029784839,Fruits and Vegetables,40.4138,OUT046,1997,Small,Tier 1,Supermarket Type1,614.01
DRK23,8.395,Low Fat,0.072122618,Hard Drinks,252.104,OUT045,2002,,Tier 2,Supermarket Type1,3534.58
NCW06,16.2,Low Fat,0.050340436,Household,191.6162,OUT046,1997,Small,Tier 1,Supermarket Type1,2828.37
FDR31,6.46,Regular,0.04944097,Fruits and Vegetables,146.4102,OUT017,2007,,Tier 2,Supermarket Type1,2214.8
NCE43,12.5,Low Fat,0.103356186,Household,168.9448,OUT013,1987,High,Tier 3,Supermarket Type1,2594.9
DRO59,,Low Fat,0.053892008,Hard Drinks,76.6012,OUT027,1985,Medium,Tier 3,Supermarket Type3,2224.39
FDN09,14.15,Low Fat,0.03492891,Snack Foods,244.4828,OUT049,1999,Medium,Tier 1,Supermarket Type1,3642.37
FDR11,10.5,Regular,0.142538224,Breads,161.1578,OUT046,1997,Small,Tier 1,Supermarket Type1,2415.99
FDO57,20.75,Low Fat,0.108619696,Snack Foods,161.9578,OUT013,1987,High,Tier 3,Supermarket Type1,2457.61
NCX18,14.15,Low Fat,0.008843726,Household,196.711,OUT017,2007,,Tier 2,Supermarket Type1,2830.44
FDB05,5.155,Low Fat,0.083537256,Frozen Foods,248.8776,OUT018,2009,Medium,Tier 3,Supermarket Type2,2751.45
FDQ08,15.7,Regular,0.019007466,Fruits and Vegetables,60.3536,OUT018,2009,Medium,Tier 3,Supermarket Type2,673.28
NCG43,20.2,Low Fat,0.074225409,Household,94.0462,OUT035,2004,Small,Tier 2,Supermarket Type1,1326.43
FDJ56,8.985,Low Fat,0.183250395,Fruits and Vegetables,101.87,OUT013,1987,High,Tier 3,Supermarket Type1,1483.82
FDA13,15.85,Low Fat,0.131484879,Canned,35.9506,OUT010,1998,,Tier 3,Grocery Store,82.14
FDO56,10.195,Regular,0.045236996,Fruits and Vegetables,116.3808,OUT017,2007,,Tier 2,Supermarket Type1,1741.23
FDB37,20.25,Regular,0.0,Baking Goods,240.4538,OUT018,2009,Medium,Tier 3,Supermarket Type2,2748.3
FDZ02,6.905,Regular,0.038302823,Dairy,96.6726,OUT018,2009,Medium,Tier 3,Supermarket Type2,1167.56
FDQ24,15.7,Low Fat,0.073666699,Baking Goods,249.9724,OUT046,1997,Small,Tier 1,Supermarket Type1,3534.58
FDM16,8.155,Regular,0.033527475,Frozen Foods,74.0354,OUT013,1987,High,Tier 3,Supermarket Type1,978.46
FDU35,6.44,Low Fat,0.079338525,Breads,99.47,OUT049,1999,Medium,Tier 1,Supermarket Type1,1454.0
FDT35,19.85,Regular,0.081439977,Breads,168.9816,OUT035,2004,Small,Tier 2,Supermarket Type1,2580.45
NCX30,16.7,Low Fat,0.026662015,Household,247.5776,OUT049,1999,Medium,Tier 1,Supermarket Type1,3640.33
FDG04,13.1,Low Fat,0.006097005,Frozen Foods,187.2898,OUT017,2007,,Tier 2,Supermarket Type1,2816.0
FDI12,9.395,Regular,0.100379956,Baking Goods,86.2856,OUT035,2004,Small,Tier 2,Supermarket Type1,1232.79
FDE35,7.06,Regular,0.043892097,Starchy Foods,60.0904,OUT035,2004,Small,Tier 2,Supermarket Type1,821.08
NCP14,,Low Fat,0.109755674,Household,106.0306,OUT027,1985,Medium,Tier 3,Supermarket Type3,2576.19
NCY53,20.0,Low Fat,0.058599942,Health and Hygiene,110.1544,OUT045,2002,,Tier 2,Supermarket Type1,1539.05
FDP49,9.0,Regular,0.069479757,Breakfast,55.1614,OUT017,2007,,Tier 2,Supermarket Type1,775.1
FDQ04,6.4,Low Fat,0.085233007,Frozen Foods,42.2796,OUT017,2007,,Tier 2,Supermarket Type1,643.76
FDM39,6.42,Low Fat,0.053460551,Dairy,178.9002,OUT035,2004,Small,Tier 2,Supermarket Type1,2648.87
FDO58,,Low Fat,0.06929452,Snack Foods,162.5526,OUT019,1985,Small,Tier 1,Grocery Store,327.78
FDC56,7.72,Low Fat,0.122208091,Fruits and Vegetables,119.344,OUT017,2007,,Tier 2,Supermarket Type1,1773.78
NCQ54,17.7,Low Fat,0.012542375,Household,167.4474,OUT046,1997,Small,Tier 1,Supermarket Type1,2578.71
FDV10,,Regular,0.066383024,Snack Foods,42.6112,OUT027,1985,Medium,Tier 3,Supermarket Type3,974.45
NCK17,11.0,Low Fat,0.037894845,Health and Hygiene,40.348,OUT046,1997,Small,Tier 1,Supermarket Type1,614.01
NCF55,,Low Fat,0.021561415,Household,36.4874,OUT027,1985,Medium,Tier 3,Supermarket Type3,920.4
FDV33,9.6,Regular,0.027320856,Snack Foods,259.8304,OUT013,1987,High,Tier 3,Supermarket Type1,3784.21
NCH29,,Low Fat,0.060359181,Health and Hygiene,96.2726,OUT019,1985,Small,Tier 1,Grocery Store,193.88
FDA37,,Regular,0.054959317,Canned,125.5046,OUT027,1985,Medium,Tier 3,Supermarket Type3,3102.09
FDH46,6.935,Regular,0.041450453,Snack Foods,101.9332,OUT018,2009,Medium,Tier 3,Supermarket Type2,1218.76
FDS25,6.885,Regular,0.13998208,Canned,110.6228,OUT035,2004,Small,Tier 2,Supermarket Type1,1541.23
FDH04,,Regular,0.011317898,Frozen Foods,89.7488,OUT027,1985,Medium,Tier 3,Supermarket Type3,2456.96
FDX52,11.5,Regular,0.042002566,Frozen Foods,191.382,OUT046,1997,Small,Tier 1,Supermarket Type1,2825.79
NCD42,16.5,Low Fat,0.012709331,Health and Hygiene,37.1506,OUT017,2007,,Tier 2,Supermarket Type1,565.33
FDW47,15.0,Low Fat,0.046637544,Breads,121.9414,OUT017,2007,,Tier 2,Supermarket Type1,1853.27
FDL25,,Regular,0.130290904,Breakfast,92.9804,OUT027,1985,Medium,Tier 3,Supermarket Type3,2491.03
NCJ06,20.1,Low Fat,0.05800138,Household,120.3782,OUT010,1998,,Tier 3,Grocery Store,230.97
FDY09,15.6,Low Fat,0.025179178,Snack Foods,173.7054,OUT013,1987,High,Tier 3,Supermarket Type1,2619.43
FDS40,15.35,Low Fat,0.0,Frozen Foods,37.219,OUT046,1997,Small,Tier 1,Supermarket Type1,565.33
FDH41,9.0,Low Fat,0.082475411,Frozen Foods,215.1534,OUT017,2007,,Tier 2,Supermarket Type1,3110.03
FDG38,8.975,Regular,0.05271917,Canned,84.9224,OUT035,2004,Small,Tier 2,Supermarket Type1,1226.07
FDU03,,Regular,0.091134452,Meat,180.6292,OUT027,1985,Medium,Tier 3,Supermarket Type3,4853.93
FDV20,20.2,Regular,0.059801403,Fruits and Vegetables,127.9678,OUT046,1997,Small,Tier 1,Supermarket Type1,1863.52
DRB13,6.115,Regular,0.007058626,Soft Drinks,190.653,OUT045,2002,,Tier 2,Supermarket Type1,2817.16
NCQ30,7.725,Low Fat,0.029048089,Household,120.2414,OUT013,1987,High,Tier 3,Supermarket Type1,1829.68
NCH06,12.3,Low Fat,0.076490678,Household,245.146,OUT013,1987,High,Tier 3,Supermarket Type1,3660.26
FDU50,5.75,Regular,0.0,Dairy,112.8176,OUT018,2009,Medium,Tier 3,Supermarket Type2,1461.29
NCO42,,Low Fat,0.043168763,Household,145.2102,OUT019,1985,Small,Tier 1,Grocery Store,293.96
FDW09,13.65,Regular,0.026026406,Snack Foods,80.0302,OUT018,2009,Medium,Tier 3,Supermarket Type2,1060.87
FDH04,6.115,Regular,0.011363508,Frozen Foods,90.6488,OUT013,1987,High,Tier 3,Supermarket Type1,1239.45
FDC21,14.6,Regular,0.043045942,Fruits and Vegetables,107.7254,OUT045,2002,,Tier 2,Supermarket Type1,1499.74
FDL21,15.85,Regular,0.007157526,Snack Foods,40.448,OUT049,1999,Medium,Tier 1,Supermarket Type1,616.23
FDM46,7.365,Low Fat,0.267753377,Snack Foods,93.612,OUT010,1998,,Tier 3,Grocery Store,192.02
FDT22,,Low Fat,0.196267755,Snack Foods,60.422,OUT019,1985,Small,Tier 1,Grocery Store,128.84
FDB28,6.615,Low Fat,0.093367723,Dairy,198.4426,OUT035,2004,Small,Tier 2,Supermarket Type1,2757.01
FDI12,9.395,Regular,0.100807923,Baking Goods,88.4856,OUT018,2009,Medium,Tier 3,Supermarket Type2,1087.0
FDA28,16.1,Regular,0.047898827,Frozen Foods,126.2362,OUT045,2002,,Tier 2,Supermarket Type1,1863.7
FDF59,12.5,Low Fat,0.071184721,Starchy Foods,127.902,OUT013,1987,High,Tier 3,Supermarket Type1,1867.5
FDM45,,Regular,0.087767643,Snack Foods,122.2756,OUT027,1985,Medium,Tier 3,Supermarket Type3,3058.01
FDQ56,6.59,Low Fat,0.106194617,Fruits and Vegetables,83.1908,OUT017,2007,,Tier 2,Supermarket Type1,1207.76
FDR46,16.85,Low Fat,0.139634411,Snack Foods,146.076,OUT049,1999,Medium,Tier 1,Supermarket Type1,2208.64
FDT01,13.65,Regular,0.184014453,Canned,212.4902,OUT013,1987,High,Tier 3,Supermarket Type1,3073.83
FDD16,,Low Fat,0.036177057,Frozen Foods,74.7696,OUT027,1985,Medium,Tier 3,Supermarket Type3,2013.11
NCU30,5.11,Low Fat,0.05837308,Household,161.221,OUT010,1998,,Tier 3,Grocery Store,326.91
FDM40,10.195,Low Fat,0.267701662,Frozen Foods,143.7154,OUT010,1998,,Tier 3,Grocery Store,287.76
FDI56,7.325,Low Fat,0.093367723,Fruits and Vegetables,93.1146,OUT035,2004,Small,Tier 2,Supermarket Type1,1313.75
NCS30,5.945,Low Fat,0.092948793,Household,127.5652,OUT013,1987,High,Tier 3,Supermarket Type1,1867.5
FDU08,10.3,Low Fat,0.027469924,Fruits and Vegetables,98.9042,OUT017,2007,,Tier 2,Supermarket Type1,1455.92
FDX51,,Regular,0.021951904,Meat,195.1452,OUT027,1985,Medium,Tier 3,Supermarket Type3,5051.64
FDA43,10.895,Low Fat,0.064806913,Fruits and Vegetables,196.6794,OUT045,2002,,Tier 2,Supermarket Type1,2830.44
FDX59,10.195,Low Fat,0.086470378,Breads,33.6558,OUT010,1998,,Tier 3,Grocery Store,80.66
FDC37,15.5,Low Fat,0.033007266,Baking Goods,106.0938,OUT018,2009,Medium,Tier 3,Supermarket Type2,1222.79
FDP58,11.1,Low Fat,0.135029856,Snack Foods,218.9482,OUT013,1987,High,Tier 3,Supermarket Type1,3087.19
NCY42,6.38,Low Fat,0.015159706,Household,142.447,OUT035,2004,Small,Tier 2,Supermarket Type1,1960.41
FDF21,10.3,Regular,0.059067021,Fruits and Vegetables,189.653,OUT018,2009,Medium,Tier 3,Supermarket Type2,2526.75
FDU10,,Regular,0.045470757,Snack Foods,38.1848,OUT027,1985,Medium,Tier 3,Supermarket Type3,923.05
DRL47,19.7,Low Fat,0.038894579,Hard Drinks,124.7362,OUT018,2009,Medium,Tier 3,Supermarket Type2,1578.88
FDA58,9.395,Low Fat,0.0,Snack Foods,237.6932,OUT018,2009,Medium,Tier 3,Supermarket Type2,2748.3
FDJ22,18.75,LF,0.05289235,Snack Foods,192.7504,OUT049,1999,Medium,Tier 1,Supermarket Type1,2825.33
FDK50,7.96,LF,0.028363203,Canned,160.4894,OUT046,1997,Small,Tier 1,Supermarket Type1,2409.57
FDO38,17.25,Low Fat,0.072825279,Canned,78.1986,OUT035,2004,Small,Tier 2,Supermarket Type1,1126.42
DRF60,10.8,Low Fat,0.052058877,Soft Drinks,239.7564,OUT035,2004,Small,Tier 2,Supermarket Type1,3499.33
NCZ42,,Low Fat,0.019763707,Household,236.3248,OUT019,1985,Small,Tier 1,Grocery Store,505.11
FDD35,12.15,Low Fat,0.025904641,Starchy Foods,118.844,OUT049,1999,Medium,Tier 1,Supermarket Type1,1746.99
FDL25,6.92,Regular,0.131190433,Breakfast,92.7804,OUT045,2002,,Tier 2,Supermarket Type1,1305.44
FDJ16,9.195,Low Fat,0.114790042,Frozen Foods,57.3246,OUT013,1987,High,Tier 3,Supermarket Type1,757.26
DRK59,8.895,Low Fat,0.075567131,Hard Drinks,234.8616,OUT049,1999,Medium,Tier 1,Supermarket Type1,3547.77
FDI50,8.42,Regular,0.030842666,Canned,231.0352,OUT046,1997,Small,Tier 1,Supermarket Type1,3394.01
NCB19,6.525,Low Fat,0.09047883,Household,87.1882,OUT045,2002,,Tier 2,Supermarket Type1,1226.58
DRI37,15.85,Low Fat,0.107577534,Soft Drinks,59.8904,OUT035,2004,Small,Tier 2,Supermarket Type1,821.08
FDA14,,Low Fat,0.064867575,Dairy,147.876,OUT027,1985,Medium,Tier 3,Supermarket Type3,3269.12
FDC08,19.0,Regular,0.103871404,Fruits and Vegetables,227.772,OUT018,2009,Medium,Tier 3,Supermarket Type2,2709.1
FDS45,5.175,Regular,0.029495954,Snack Foods,104.5622,OUT046,1997,Small,Tier 1,Supermarket Type1,1488.35
FDI21,5.59,Regular,0.056690821,Snack Foods,63.4168,OUT049,1999,Medium,Tier 1,Supermarket Type1,885.93
DRJ47,18.25,Low Fat,0.044241936,Hard Drinks,174.308,OUT035,2004,Small,Tier 2,Supermarket Type1,2580.85
DRE37,,Low Fat,0.09376333,Soft Drinks,188.8872,OUT027,1985,Medium,Tier 3,Supermarket Type3,4928.15
FDT55,13.6,Regular,0.043832988,Fruits and Vegetables,158.0946,OUT018,2009,Medium,Tier 3,Supermarket Type2,2207.6
NCG42,,Low Fat,0.041028183,Household,129.131,OUT027,1985,Medium,Tier 3,Supermarket Type3,3136.05
FDA31,7.1,Low Fat,0.110182726,Fruits and Vegetables,171.208,OUT049,1999,Medium,Tier 1,Supermarket Type1,2614.76
NCW42,18.2,Low Fat,0.0,Household,222.0456,OUT046,1997,Small,Tier 1,Supermarket Type1,3213.55
FDF50,4.905,Low Fat,0.117994019,Canned,195.2768,OUT017,2007,,Tier 2,Supermarket Type1,2838.49
FDK56,9.695,Low Fat,0.130200124,Fruits and Vegetables,186.7898,OUT049,1999,Medium,Tier 1,Supermarket Type1,2821.38
FDX10,6.385,Regular,0.123687134,Snack Foods,36.8874,OUT035,2004,Small,Tier 2,Supermarket Type1,565.33
NCK07,,Low Fat,0.048450921,Others,163.3526,OUT027,1985,Medium,Tier 3,Supermarket Type3,3727.53
FDZ49,11.0,Regular,0.133898743,Canned,222.0798,OUT017,2007,,Tier 2,Supermarket Type1,3213.55
FDR33,7.31,Low Fat,0.026766644,Snack Foods,108.657,OUT013,1987,High,Tier 3,Supermarket Type1,1521.76
FDO44,12.6,Low Fat,0.0,Fruits and Vegetables,110.8228,OUT018,2009,Medium,Tier 3,Supermarket Type2,1264.28
FDA20,6.78,Low Fat,0.066621085,Fruits and Vegetables,186.624,OUT046,1997,Small,Tier 1,Supermarket Type1,2816.0
NCL30,18.1,Low Fat,0.049039681,Household,127.8336,OUT045,2002,,Tier 2,Supermarket Type1,1863.52
FDI05,,Regular,0.222132498,Frozen Foods,74.4354,OUT019,1985,Small,Tier 1,Grocery Store,154.59
FDQ12,12.65,Low Fat,0.035554996,Baking Goods,228.501,OUT018,2009,Medium,Tier 3,Supermarket Type2,2709.1
FDH47,13.5,Regular,0.0,Starchy Foods,95.8068,OUT017,2007,,Tier 2,Supermarket Type1,1381.25
FDH34,8.63,Low Fat,0.031221915,Snack Foods,185.8582,OUT018,2009,Medium,Tier 3,Supermarket Type2,2511.36
FDF29,15.1,Regular,0.019934187,Frozen Foods,131.431,OUT046,1997,Small,Tier 1,Supermarket Type1,1866.34
FDG40,13.65,Low Fat,0.039986574,Frozen Foods,34.3558,OUT018,2009,Medium,Tier 3,Supermarket Type2,492.13
NCE18,10.0,Low Fat,0.021546531,Household,249.175,OUT017,2007,,Tier 2,Supermarket Type1,3534.58
FDP21,7.42,Regular,0.043084893,Snack Foods,189.1872,OUT010,1998,,Tier 3,Grocery Store,414.52
FDY50,5.8,Low Fat,0.130846833,Dairy,88.6172,OUT013,1987,High,Tier 3,Supermarket Type1,1227.64
FDB36,5.465,Regular,0.0,Baking Goods,129.2626,OUT049,1999,Medium,Tier 1,Supermarket Type1,1870.63
NCZ29,15.0,Low Fat,0.071482421,Health and Hygiene,127.2362,OUT049,1999,Medium,Tier 1,Supermarket Type1,1866.39
FDU20,19.35,Regular,0.02154496,Fruits and Vegetables,119.0098,OUT018,2009,Medium,Tier 3,Supermarket Type2,1537.02
FDO56,10.195,Regular,0.044945123,Fruits and Vegetables,117.7808,OUT013,1987,High,Tier 3,Supermarket Type1,1723.99
FDW31,11.35,Regular,0.043225203,Fruits and Vegetables,197.7742,OUT049,1999,Medium,Tier 1,Supermarket Type1,2735.5
DRH59,10.8,Low Fat,0.058384823,Hard Drinks,74.838,OUT013,1987,High,Tier 3,Supermarket Type1,992.27
NCB30,14.6,Low Fat,0.02584838,Household,197.5084,OUT017,2007,,Tier 2,Supermarket Type1,2798.78
FDK43,,Low Fat,0.026710788,Meat,127.902,OUT027,1985,Medium,Tier 3,Supermarket Type3,3113.82
FDW43,20.1,Regular,0.022470715,Fruits and Vegetables,229.3036,OUT045,2002,,Tier 2,Supermarket Type1,3381.42
NCL19,15.35,Low Fat,0.015764902,Others,141.147,OUT017,2007,,Tier 2,Supermarket Type1,1916.53
FDJ27,17.7,Regular,0.121876033,Meat,100.3674,OUT046,1997,Small,Tier 1,Supermarket Type1,1462.45
FDC45,17.0,low fat,0.135733218,Fruits and Vegetables,169.9106,OUT046,1997,Small,Tier 1,Supermarket Type1,2580.45
FDY40,15.5,Regular,0.085818761,Frozen Foods,51.2692,OUT035,2004,Small,Tier 2,Supermarket Type1,702.55
NCM41,16.5,Low Fat,0.035649249,Health and Hygiene,91.912,OUT035,2004,Small,Tier 2,Supermarket Type1,1257.37
NCK18,,Low Fat,0.011727514,Household,164.5184,OUT019,1985,Small,Tier 1,Grocery Store,337.68
FDP37,15.6,Low Fat,0.143328443,Breakfast,129.7994,OUT049,1999,Medium,Tier 1,Supermarket Type1,1872.24
FDA27,,Regular,0.030777863,Dairy,255.5672,OUT027,1985,Medium,Tier 3,Supermarket Type3,5217.24
NCX30,16.7,Low Fat,0.026615593,Household,247.4776,OUT035,2004,Small,Tier 2,Supermarket Type1,3506.84
FDR09,18.25,Low Fat,0.078164241,Snack Foods,256.9962,OUT017,2007,,Tier 2,Supermarket Type1,3549.0
FDG08,,Regular,0.164558565,Fruits and Vegetables,172.6764,OUT027,1985,Medium,Tier 3,Supermarket Type3,4585.17
NCU30,5.11,Low Fat,0.034845668,Household,164.621,OUT013,1987,High,Tier 3,Supermarket Type1,2484.26
FDB16,8.21,Low Fat,0.045179902,Dairy,87.8198,OUT017,2007,,Tier 2,Supermarket Type1,1230.83
FDM16,8.155,Regular,0.033745202,Frozen Foods,73.6354,OUT017,2007,,Tier 2,Supermarket Type1,991.32
FDC48,9.195,Low Fat,0.015846096,Baking Goods,81.5592,OUT013,1987,High,Tier 3,Supermarket Type1,1183.24
NCF18,18.35,Low Fat,0.088982596,Household,189.9504,OUT046,1997,Small,Tier 1,Supermarket Type1,2817.16
FDU46,10.3,reg,0.011171624,Snack Foods,86.954,OUT018,2009,Medium,Tier 3,Supermarket Type2,1083.64
FDH41,9.0,Low Fat,0.082345601,Frozen Foods,214.5534,OUT018,2009,Medium,Tier 3,Supermarket Type2,2637.8
NCN42,20.25,Low Fat,0.023805745,Household,145.5418,OUT010,1998,,Tier 3,Grocery Store,306.18
FDU49,19.5,Regular,0.030694361,Canned,88.254,OUT046,1997,Small,Tier 1,Supermarket Type1,1232.94
FDB20,,Low Fat,0.051728948,Fruits and Vegetables,77.9986,OUT027,1985,Medium,Tier 3,Supermarket Type3,2209.67
FDG50,,Low Fat,0.026738937,Canned,89.6146,OUT019,1985,Small,Tier 1,Grocery Store,184.46
FDW20,20.75,Low Fat,0.024198404,Fruits and Vegetables,122.073,OUT045,2002,,Tier 2,Supermarket Type1,1853.27
NCO55,12.8,Low Fat,0.091178768,Others,109.1938,OUT049,1999,Medium,Tier 1,Supermarket Type1,1528.46
FDX48,17.75,Regular,0.037887894,Baking Goods,154.6656,OUT046,1997,Small,Tier 1,Supermarket Type1,2218.85
FDU48,18.85,Low Fat,0.055358452,Baking Goods,132.7284,OUT046,1997,Small,Tier 1,Supermarket Type1,1866.3
FDR48,,Low Fat,0.230246928,Baking Goods,152.1024,OUT019,1985,Small,Tier 1,Grocery Store,308.58
FDK27,11.0,Low Fat,0.008939091,Meat,122.7756,OUT013,1987,High,Tier 3,Supermarket Type1,1855.19
FDT35,19.85,Regular,0.081387594,Breads,166.0816,OUT013,1987,High,Tier 3,Supermarket Type1,2513.85
FDN12,15.6,Low Fat,0.081230024,Baking Goods,109.8544,OUT049,1999,Medium,Tier 1,Supermarket Type1,1530.5
NCE31,,low fat,0.323637245,Household,35.5216,OUT019,1985,Small,Tier 1,Grocery Store,82.09
FDL21,15.85,Regular,0.007186838,Snack Foods,41.148,OUT017,2007,,Tier 2,Supermarket Type1,619.48
FDV56,16.1,Regular,0.013672625,Fruits and Vegetables,106.8596,OUT017,2007,,Tier 2,Supermarket Type1,1499.1
FDR16,5.845,Regular,0.105612027,Frozen Foods,214.8218,OUT017,2007,,Tier 2,Supermarket Type1,3110.03
